,Unnamed: 0,dfo_centroid_y,dfo_main_cause,gfd_country_name,dfo_centroid_x,glide_index,slope_threshold,dfo_severity,threshold_b1b2,dfo_displaced,id,began,dfo_validation_type,composite_type,dfo_country,countries,dfo_other_country,dfo_dead,gfd_country_code,ended,threshold_type,threshold_b7,otsu_sample_res,flood_file,date,iso3
681,681,11.242567,Monsoonal rain,"['THAILAND', 'BURMA', 'LAOS', 'CAMBODIA', 'VIETNAM']",105.063841,,5,1.0,1.108,25000,1614,2000-07-11,News,3Day,Thailand,"['Vietnam', 'Thailand', 'Laos', 'Cambodia']",Vietnam,33,"['TH', 'BM', 'LA', 'CB', 'VM']",2000-08-10,otsu,839.69,231.66,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_1614_From_20000711_to_20000810/DFO_1614_From_20000711_to_20000810.tif,730312,"['VNM', 'THA', 'LAO', 'KHM']"
682,682,32.958879,Heavy rain,"['TURKEY', 'JORDAN', 'SYRIA', 'SAUDI ARABIA', 'IRAQ', 'UNITED ARAB EMIRATES', 'QATAR', 'BAHRAIN', 'IRAN', 'KUWAIT']",46.294021,,5,1.0,0.7,0,2637,2005-03-13,News,3Day,Iraq,"['Saudi Arabia', 'Iran', 'Turkey', 'Syria', 'Iraq', 'United Arab Emirates', 'Kuwait', 'Qatar', 'Bahrain']",,0,"['TU', 'JO', 'SY', 'SA', 'IZ', 'AE', 'QA', 'BA', 'IR', 'KU']",2005-03-25,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_2637_From_20050313_to_20050325/DFO_2637_From_20050313_to_20050325.tif,732018,"['SAU', 'IRN', 'TUR', 'SYR', 'IRQ', 'ARE', 'KWT', 'QAT', 'BHR']"
683,683,-21.090969,Torrential Rain,"['BRAZIL', 'PERU', 'BOLIVIA', 'PARAGUAY', 'ARGENTINA']",-64.041828,FL-2011-000020-BOL,5,1.0,1.297,500,3775,2011-01-30,News,3Day,Bolivia,"['Brazil', 'Argentina', 'Peru', 'Bolivia', 'Paraguay']",,31,"['BR', 'PE', 'BL', 'PA', 'AR']",2011-01-31,otsu,951.03,231.66,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_3775_From_20110130_to_20110131/DFO_3775_From_20110130_to_20110131.tif,734167,"['BRA', 'ARG', 'PER', 'BOL', 'PRY']"
684,684,37.802184,Tsunami,['JAPAN'],140.823207,,5,2.0,0.7,200000,3787,2011-03-11,News,3Day,Japan,['Japan'],,10000,['JA'],2011-03-11,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_3787_From_20110311_to_20110311/DFO_3787_From_20110311_to_20110311.tif,734207,['JPN']
685,685,28.594245,Tropical Storm Irma,"['UNITED STATES', 'CUBA', 'THE BAHAMAS', 'Turks & Caicos Islands (UK)', 'DOMINICAN REPUBLIC', 'HAITI', 'Navassa Island (US)', 'Cayman Islands (UK)']",-81.625156,TC-2017-000132-CUB,5,2.0,0.7,3000,4516,2017-09-08,News,3Day,USA,"['United States', 'Cuba', 'Bahamas', 'The', 'Dominican Republic', 'Haiti', 'Turks and Caicos Islands']",Cuba,84,"['US', 'CU', 'BF', 'TK', 'DR', 'HA', 'BQ', 'CJ']",2017-09-19,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_4516_From_20170908_to_20170919/DFO_4516_From_20170908_to_20170919.tif,736580,"['USA', 'CUB', 'BHS', 'DOM', 'HTI', 'TCA']"
686,686,-45.156686,Heavy Rain,['NEW ZEALAND'],169.917994,,5,2.0,0.741,0,3654,2010-05-25,0,3Day,New Zealand,['New Zealand'],,0,['NZ'],2010-05-31,otsu,647.43,231.66,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_3654_From_20100525_to_20100531/DFO_3654_From_20100525_to_20100531.tif,733917,['NZL']
687,687,8.024092,Monsoonal Rain,"['MALAYSIA', 'THAILAND', 'BURMA', 'SINGAPORE']",99.516261,,5,1.0,0.7,1000,4206,2014-11-07,News,3Day,Thailand,"['Myanmar (Burma)', 'Malaysia', 'Thailand']",,0,"['MY', 'TH', 'BM', 'SN']",2014-11-16,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_4206_From_20141107_to_20141116/DFO_4206_From_20141107_to_20141116.tif,735544,"['MMR', 'MYS', 'THA']"
688,688,21.713895,Heavy rain,['INDIA'],73.473279,,5,1.0,0.7,0,2734,2005-09-22,News,3Day,India,['India'],,15,['IN'],2005-10-11,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_2734_From_20050922_to_20051011/DFO_2734_From_20050922_to_20051011.tif,732211,['IND']
689,689,22.30208,Monsoonal Rain,['INDIA'],73.953105,,5,1.5,0.7,5000,3864,2011-08-25,News,3Day,India,['India'],,0,['IN'],2011-09-13,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_3864_From_20110825_to_20110913/DFO_3864_From_20110825_to_20110913.tif,734374,['IND']
690,690,36.22662,Rain and snowmelt,"['CANADA', 'UNITED STATES']",-89.152166,,5,1.5,0.7,1000,3285,2008-03-17,News,3Day,USA,"['Canada', 'United States']",,18,"['CA', 'US']",2008-05-02,standard,675.0,,/Users/evelynm/Documents/WCR/3_PhD/1_coding_stuff/x_data/hazards/cloud_to_street_db/DFO_3285_From_20080317_to_20080502/DFO_3285_From_20080317_to_20080502.tif,733118,"['CAN', 'USA']"
